**************************************************************************************************************


SPECIES :  I_2^+ / I2
PROCESS:  I_2^+ + I2 -> I_2 + I2^+, Backscat
PARAM.:   delta E = 0.00
COMMENT:  fit from fig 2 in Hause et al (2015) in the center of mass, overestimated as a small contribution from fragmentation is included
UPDATED:  10/31/22
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 3.151363e+01    6.250450e-19
 3.202621e+01    6.248348e-19
 3.254712e+01    6.246246e-19
 3.307650e+01    6.244144e-19
 3.361449e+01    6.242042e-19
 3.416123e+01    6.239940e-19
 3.471687e+01    6.237838e-19
 3.528154e+01    6.235736e-19
 3.585540e+01    6.233634e-19
 3.643859e+01    6.231532e-19
 3.703127e+01    6.229429e-19
 3.763358e+01    6.227327e-19
 3.824570e+01    6.225225e-19
 3.886777e+01    6.223123e-19
 3.949995e+01    6.221021e-19
 4.014242e+01    6.218919e-19
 4.079535e+01    6.216817e-19
 4.145888e+01    6.214715e-19
 4.213322e+01    6.212613e-19
 4.281852e+01    6.210511e-19
 4.351497e+01    6.208408e-19
 4.422274e+01    6.206306e-19
 4.494203e+01    6.204204e-19
 4.567301e+01    6.202102e-19
 4.641589e+01    6.200000e-19
 4.717085e+01    6.197898e-19
 4.793808e+01    6.195796e-19
 4.871780e+01    6.193694e-19
 4.951020e+01    6.191592e-19
 5.031549e+01    6.189489e-19
 5.113388e+01    6.187387e-19
 5.196557e+01    6.185285e-19
 5.281080e+01    6.183183e-19
 5.366977e+01    6.181081e-19
 5.454271e+01    6.178979e-19
 5.542986e+01    6.176877e-19
 5.633143e+01    6.174775e-19
 5.724766e+01    6.172673e-19
 5.817880e+01    6.170571e-19
 5.912508e+01    6.168468e-19
 6.008676e+01    6.166366e-19
 6.106408e+01    6.164264e-19
 6.205729e+01    6.162162e-19
 6.306666e+01    6.160060e-19
 6.409244e+01    6.157958e-19
 6.513491e+01    6.155856e-19
 6.619433e+01    6.153754e-19
 6.727099e+01    6.151652e-19
 6.836516e+01    6.149550e-19
 6.947713e+01    6.147447e-19
 7.060718e+01    6.145345e-19
 7.175561e+01    6.143243e-19
 7.292272e+01    6.141141e-19
 7.410882e+01    6.139039e-19
 7.531420e+01    6.136937e-19
 7.653919e+01    6.134835e-19
 7.778411e+01    6.132733e-19
 7.904928e+01    6.130631e-19
 8.033502e+01    6.128529e-19
 8.164168e+01    6.126426e-19
 8.296959e+01    6.124324e-19
 8.431909e+01    6.122222e-19
 8.569055e+01    6.120120e-19
 8.708431e+01    6.118018e-19
 8.850075e+01    6.115916e-19
 8.994022e+01    6.113814e-19
 9.140311e+01    6.111712e-19
 9.288979e+01    6.109610e-19
 9.440065e+01    6.107508e-19
 9.593608e+01    6.105405e-19
 9.749649e+01    6.103303e-19
 9.908228e+01    6.101201e-19
 1.006939e+02    6.099099e-19
 1.023317e+02    6.096997e-19
 1.039961e+02    6.094895e-19
 1.056876e+02    6.092793e-19
 1.074066e+02    6.090691e-19
 1.091536e+02    6.088589e-19
 1.109290e+02    6.086486e-19
 1.127333e+02    6.084384e-19
 1.145669e+02    6.082282e-19
 1.164303e+02    6.080180e-19
 1.183241e+02    6.078078e-19
 1.202486e+02    6.075976e-19
 1.222045e+02    6.073874e-19
 1.241921e+02    6.071772e-19
 1.262121e+02    6.069670e-19
 1.282650e+02    6.067568e-19
 1.303512e+02    6.065465e-19
 1.324714e+02    6.063363e-19
 1.346261e+02    6.061261e-19
 1.368158e+02    6.059159e-19
 1.390411e+02    6.057057e-19
 1.413026e+02    6.054955e-19
 1.436009e+02    6.052853e-19
 1.459366e+02    6.050751e-19
 1.483103e+02    6.048649e-19
 1.507225e+02    6.046547e-19
 1.531740e+02    6.044444e-19
 1.556654e+02    6.042342e-19
 1.581973e+02    6.040240e-19
 1.607704e+02    6.038138e-19
 1.633854e+02    6.036036e-19
 1.660429e+02    6.033934e-19
 1.687436e+02    6.031832e-19
 1.714882e+02    6.029730e-19
 1.742775e+02    6.027628e-19
 1.771121e+02    6.025526e-19
 1.799929e+02    6.023423e-19
 1.829205e+02    6.021321e-19
 1.858957e+02    6.019219e-19
 1.889193e+02    6.017117e-19
 1.919921e+02    6.015015e-19
 1.951148e+02    6.012913e-19
 1.982884e+02    6.010811e-19
 2.015136e+02    6.008709e-19
 2.047912e+02    6.006607e-19
 2.081222e+02    6.004505e-19
 2.115073e+02    6.002402e-19
 2.149475e+02    6.000300e-19
